"-------------------------------------------------------------------------------------------"
" Atmospheric CO2 concentrations (ppm) derived from in situ air measurements                "
" at Mauna Loa, Observatory, Hawaii: Latitude 19.5°N Longitude 155.6°W Elevation 3397m      "
"                                                                                           "
" Source: R. F. Keeling, S. J. Walker, S. C. Piper and A. F. Bollenbacher                   "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu), Stephen Walker"
" (sjwalker@ucsd.edu) and Stephen Piper (scpiper@ucsd.edu), Scripps CO2 Program.            "
"                                                                                           "
" Baseline data in this file through 06-Feb-2020 from archive dated 06-Feb-2020 08:55:31    "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
"                                                                        "
" The data file below contains 2 columns indicaing the date and CO2      "
" concentrations in micro-mol CO2 per mole (ppm), reported on the 2008A  "
" SIO manometric mole fraction scale.  These weekly values have been     "
" adjusted to 12:00 hours at middle day of each weekly period as         "
1961-06-24, 319.49
1961-07-01, 319.26
1961-07-08, 319.07
1961-07-15, 318.49
1961-07-22, 317.16
1961-07-29, 317.97
1961-08-05, 317.91
1961-08-12, 317.33
1961-08-19, 316.76
1961-08-26, 315.26
1961-09-02, 315.28
1961-09-09, 314.97
1961-09-16, 314.53
1961-09-23, 315.06
1961-09-30, 315.61
1961-10-07, 314.97
1961-10-14, 315.43
1961-10-21, 315.48
1961-10-28, 315.72
1961-11-04, 315.82
1961-11-11, 315.70
1961-11-18, 316.21
1961-11-25, 316.55
1961-12-02, 316.52
1961-12-09, 317.02
1961-12-16, 316.94
1961-12-23, 317.18
1961-12-30, 317.46
1962-01-06, 317.99
1962-01-13, 318.12
1962-01-20, 318.07
1962-01-27, 317.78
1962-02-03, 318.08
1962-02-10, 318.35
1962-02-17, 318.92
1962-02-24, 319.38
1962-03-03, 319.28
1962-03-10, 319.46
1962-03-17, 319.95
1962-03-24, 319.78
1962-03-31, 320.27
1962-04-07, 320.26
1962-04-14, 321.03
1962-04-21, 320.78
1962-04-28, 320.36
1962-05-05, 320.89
1962-05-12, 320.78
1962-05-19, 321.05
1962-05-26, 321.16
1962-06-02, 320.91
1962-06-09, 320.87
1962-06-16, 320.52
1962-06-23, 320.15
1962-06-30, 320.23
1962-07-07, 320.10
1962-07-14, 319.95
1962-07-21, 319.01
1962-07-28, 318.75
1962-08-04, 318.68
1962-08-11, 317.24
1962-08-18, 317.48
1962-09-15, 316.65
1962-09-22, 315.72
1962-09-29, 315.92
1962-10-06, 315.10
1962-10-13, 315.40
1962-10-20, 315.72
1962-10-27, 315.78
1962-11-03, 315.94
1962-11-10, 316.49
1962-11-17, 316.92
1962-11-24, 317.08
1962-12-01, 317.19
1962-12-08, 317.31
1962-12-15, 317.66
1962-12-22, 318.18
1963-01-05, 318.54
1963-01-12, 318.73
1963-01-19, 318.90
1963-01-26, 318.82
1963-02-02, 318.77
1963-02-09, 318.95
1963-02-23, 319.37
1963-03-02, 319.35
1963-03-09, 319.70
1963-03-16, 319.80
1963-03-23, 320.34
1963-03-30, 320.29
1963-04-06, 320.38
1963-04-13, 320.96
1963-04-20, 322.05
1963-04-27, 321.92
1963-05-11, 321.97
1963-05-18, 322.28
1963-05-25, 322.27
1963-06-01, 322.32
1963-06-08, 322.09
1963-06-15, 321.83
1963-06-22, 320.88
1963-06-29, 320.49
1963-07-06, 320.12
1963-07-13, 319.82
1963-07-20, 319.56
1963-07-27, 319.06
1963-08-03, 318.60
1963-08-10, 318.27
1963-08-17, 317.73
1963-08-24, 317.12
1963-08-31, 316.44
1963-09-07, 316.81
1963-09-14, 315.99
1963-09-21, 316.03
1963-09-28, 315.93
1963-10-05, 316.28
1963-10-12, 315.65
1963-10-19, 316.14
1963-10-26, 316.36
1963-11-02, 316.63
1963-11-09, 316.83
1963-11-16, 317.13
1963-11-30, 317.56
1963-12-07, 318.07
1963-12-14, 318.27
1963-12-21, 318.59
1963-12-28, 318.74
1964-01-04, 319.04
1964-01-11, 319.49
1964-01-18, 319.88
1964-05-30, 322.07
1964-06-06, 322.06
1964-06-27, 321.57
1964-07-04, 321.14
1964-07-11, 319.95
1964-07-18, 320.28
1964-07-25, 320.02
1964-08-01, 319.14
1964-08-15, 318.61
1964-08-22, 318.23
1964-08-29, 318.11
1964-09-05, 317.48
1964-09-12, 316.57
1964-09-19, 315.59
1964-09-26, 317.01
1964-10-03, 316.93
1964-10-10, 316.51
1964-10-17, 316.86
1964-10-24, 317.05
1964-10-31, 317.65
1964-11-07, 317.77
1964-11-14, 317.65
1964-11-21, 317.52
1964-11-28, 318.11
1964-12-05, 318.42
1964-12-12, 318.58
1964-12-19, 318.93
1964-12-26, 318.91
1965-01-02, 319.08
1965-01-09, 319.17
1965-01-16, 319.16
1965-01-23, 319.79
1965-01-30, 320.12
1965-02-06, 320.20
1965-02-13, 320.16
1965-02-20, 320.70
1965-02-27, 320.89
1965-03-06, 321.07
1965-03-13, 320.98
1965-03-20, 320.49
1965-03-27, 321.40
1965-04-03, 321.95
1965-04-10, 322.27
1965-04-17, 322.17
1965-04-24, 321.86
1965-05-01, 322.46
1965-05-08, 322.22
1965-05-15, 321.94
1965-05-22, 321.69
1965-05-29, 322.26
1965-06-05, 321.87
1965-06-12, 321.77
1965-06-19, 321.77
1965-06-26, 321.99
1965-07-03, 321.97
1965-07-10, 321.85
1965-07-17, 321.76
1965-07-24, 320.47
1965-07-31, 319.49
1965-08-07, 319.47
1965-08-14, 318.02
1965-08-21, 318.82
1965-08-28, 318.73
1965-09-04, 318.39
1965-09-11, 318.05
1965-09-18, 318.26
1965-09-25, 316.85
1965-10-02, 316.60
1965-10-09, 317.26
1965-10-16, 317.86
1965-10-23, 317.56
1965-10-30, 317.63
1965-11-06, 318.30
1965-11-13, 319.26
1965-11-20, 318.99
1965-11-27, 319.17
1965-12-04, 319.09
1965-12-11, 319.37
1965-12-18, 319.39
1965-12-25, 319.70
1966-01-01, 319.69
1966-01-08, 320.49
1966-01-15, 320.63
1966-01-22, 321.09
1966-01-29, 321.16
1966-02-05, 321.26
1966-02-12, 321.75
1966-02-19, 321.67
1966-02-26, 321.80
1966-03-05, 322.10
1966-03-12, 322.14
1966-03-19, 322.57
1966-03-26, 322.86
1966-04-02, 323.55
1966-04-09, 323.62
1966-04-16, 323.88
1966-04-23, 323.91
1966-04-30, 323.53
1966-05-07, 324.00
1966-05-14, 324.10
1966-05-21, 323.72
1966-05-28, 324.31
1966-06-04, 324.02
1966-06-11, 323.88
1966-06-18, 323.75
1966-06-25, 323.32
1966-07-02, 322.82
1966-07-09, 322.90
1966-08-06, 321.31
1966-08-13, 320.85
1966-08-20, 319.16
1966-08-27, 319.64
1966-09-03, 319.94
1966-09-10, 318.22
1966-09-17, 318.46
1966-09-24, 318.31
1966-10-01, 317.90
1966-10-08, 317.90
1966-10-15, 318.21
1966-10-22, 318.61
1966-10-29, 318.39
1966-11-12, 319.59
1966-11-19, 320.03
1966-11-26, 320.24
1966-12-03, 320.80
1966-12-10, 320.87
1966-12-17, 321.16
1966-12-24, 321.31
1966-12-31, 321.37
1967-01-07, 321.92
1967-01-14, 322.93
1967-02-04, 322.19
1967-02-11, 322.23
1967-02-18, 322.86
1967-02-25, 322.60
1967-03-04, 322.94
1967-03-11, 322.60
1967-03-18, 323.33
1967-03-25, 323.24
1967-04-01, 323.15
1967-04-08, 324.21
1967-04-15, 324.41
1967-04-22, 324.60
1967-04-29, 325.16
1967-05-06, 325.26
1967-05-13, 324.78
1967-05-20, 325.09
1967-05-27, 324.94
1967-06-03, 324.95
1967-06-10, 324.65
1967-06-17, 323.31
1967-06-24, 323.50
1967-07-01, 322.89
1967-07-08, 322.85
1967-07-15, 322.45
1967-07-22, 322.40
1967-07-29, 322.04
1967-08-05, 321.65
1967-08-12, 321.40
1967-08-19, 320.48
1967-08-26, 320.01
1967-09-02, 320.07
1967-09-09, 319.43
1967-09-16, 319.35
1967-09-23, 319.03
1967-09-30, 318.81
1967-10-07, 318.88
1967-10-14, 319.86
1967-10-21, 319.47
1967-10-28, 319.86
1967-11-04, 320.01
1967-11-11, 320.34
1967-11-18, 320.91
1967-11-25, 321.54
1967-12-02, 321.40
1967-12-09, 321.89
1967-12-16, 322.29
1967-12-23, 321.98
1967-12-30, 322.30
1968-01-06, 322.46
1968-01-13, 322.50
1968-01-20, 322.59
1968-01-27, 322.83
1968-02-03, 322.66
1968-02-10, 323.17
1968-02-17, 323.46
1968-02-24, 323.18
1968-03-02, 323.15
1968-03-09, 323.85
1968-03-16, 323.85
1968-03-23, 324.21
1968-03-30, 324.77
1968-04-06, 324.79
1968-04-13, 325.04
1968-04-20, 324.84
1968-04-27, 325.45
1968-05-04, 325.63
1968-05-11, 325.09
1968-05-18, 325.52
1968-05-25, 325.86
1968-06-01, 325.67
1968-06-08, 325.71
1968-06-15, 325.56
1968-06-22, 324.99
1968-06-29, 324.63
1968-07-06, 324.70
1968-07-13, 324.13
1968-07-20, 323.94
1968-07-27, 323.40
1968-08-03, 322.49
1968-08-10, 322.27
1968-08-17, 322.02
1968-08-24, 321.74
1968-08-31, 321.42
1968-09-07, 320.44
1968-09-14, 321.18
1968-09-21, 319.78
1968-09-28, 319.89
1968-10-05, 320.57
1968-10-12, 320.52
1968-10-19, 320.26
1968-10-26, 319.92
1968-11-02, 320.70
1968-11-09, 320.89
1968-11-16, 321.40
1968-11-23, 321.78
1968-11-30, 322.06
1968-12-07, 322.44
1968-12-14, 322.91
1968-12-21, 323.33
1968-12-28, 323.19
1969-01-04, 323.39
1969-01-11, 324.06
1969-01-18, 324.36
1969-01-25, 324.14
1969-02-01, 324.16
1969-02-08, 323.92
1969-02-15, 324.37
1969-02-22, 324.86
1969-03-01, 325.14
1969-03-08, 325.58
1969-03-15, 325.72
1969-03-22, 325.96
1969-03-29, 325.89
1969-04-05, 326.27
1969-04-12, 327.13
1969-04-19, 326.58
1969-04-26, 326.57
1969-05-03, 327.52
1969-05-10, 327.82
1969-05-17, 326.86
1969-05-24, 326.92
1969-05-31, 327.43
1969-06-07, 326.51
1969-06-14, 326.78
1969-06-21, 326.73
1969-06-28, 326.37
1969-07-05, 326.16
1969-07-12, 326.07
1969-07-19, 325.72
1969-07-26, 325.47
1969-08-02, 324.50
1969-08-09, 324.56
1969-08-16, 323.14
1969-08-23, 322.56
1969-08-30, 323.14
1969-09-06, 322.21
1969-09-13, 322.79
1969-09-20, 322.84
1969-09-27, 321.96
1969-10-04, 321.50
1969-10-11, 321.82
1969-10-18, 322.00
1969-10-25, 321.93
1969-11-01, 322.21
1969-11-08, 322.64
1969-11-15, 322.78
1969-11-22, 323.10
1969-11-29, 323.52
1969-12-06, 323.91
1969-12-13, 323.99
1969-12-20, 324.22
1969-12-27, 324.50
1970-01-03, 324.70
1970-01-10, 325.40
1970-01-17, 325.05
1970-01-24, 324.80
1970-01-31, 325.55
1970-02-07, 325.70
1970-02-14, 326.02
1970-02-21, 326.32
1970-02-28, 326.17
1970-03-07, 326.85
1970-03-14, 326.80
1970-03-21, 327.51
1970-03-28, 326.95
1970-04-04, 328.20
1970-04-11, 327.84
1970-04-18, 327.81
1970-04-25, 328.55
1970-05-02, 327.99
1970-05-09, 327.56
1970-05-16, 328.03
1970-05-23, 328.33
1970-05-30, 327.98
1970-06-06, 327.55
1970-06-13, 327.86
1970-06-20, 327.71
1970-06-27, 327.23
1970-07-04, 327.29
1970-07-11, 326.24
1970-07-18, 326.28
1970-07-25, 325.63
1970-08-01, 325.24
1970-08-08, 325.21
1970-08-15, 324.86
1970-08-22, 324.84
1970-08-29, 323.33
1970-09-05, 322.97
1970-09-12, 323.58
1970-09-19, 323.18
1970-09-26, 323.15
1970-10-03, 323.21
1970-10-10, 323.56
1970-10-17, 322.92
1970-10-24, 323.02
1970-10-31, 323.18
1970-11-07, 323.69
1970-11-14, 323.76
1970-11-21, 324.23
1970-11-28, 324.71
1970-12-05, 324.73
1970-12-12, 325.00
1970-12-19, 325.29
1970-12-26, 325.58
1971-01-02, 325.77
1971-01-09, 325.89
1971-01-16, 325.90
1971-01-23, 326.72
1971-01-30, 326.68
1971-02-06, 326.55
1971-02-13, 326.49
1971-02-20, 326.79
1971-02-27, 327.05
1971-03-06, 327.15
1971-03-13, 327.34
1971-03-20, 327.08
1971-03-27, 327.45
1971-04-03, 327.44
1971-04-10, 327.10
1971-04-17, 327.71
1971-04-24, 328.56
1971-05-01, 328.20
1971-05-08, 329.07
1971-05-15, 329.28
1971-05-22, 328.92
1971-05-29, 328.81
1971-06-05, 328.56
1971-06-12, 328.80
1971-06-19, 328.18
1971-06-26, 328.52
1971-07-03, 327.92
1971-07-10, 327.88
1971-07-17, 327.55
1971-07-24, 326.21
1971-07-31, 326.74
1971-08-07, 326.12
1971-08-14, 325.61
1971-08-21, 325.39
1971-08-28, 324.04
1971-09-04, 323.65
1971-09-11, 323.51
1971-09-18, 323.26
1971-09-25, 323.30
1971-10-02, 323.32
1971-10-09, 322.95
1971-10-16, 323.52
1971-10-23, 323.69
1971-10-30, 324.40
1971-11-06, 324.36
1971-11-13, 324.53
1971-11-20, 325.04
1971-11-27, 325.51
1971-12-04, 325.38
1971-12-11, 325.93
1971-12-18, 326.28
1971-12-25, 326.35
1972-01-01, 326.61
1972-01-08, 326.67
1972-01-15, 326.62
1972-01-22, 326.68
1972-01-29, 327.24
1972-02-05, 327.40
1972-02-12, 327.95
1972-02-19, 327.83
1972-02-26, 327.42
1972-03-04, 327.58
1972-03-11, 327.16
1972-03-18, 327.78
1972-03-25, 328.62
1972-04-01, 328.97
1972-04-08, 329.47
1972-04-15, 329.83
1972-04-22, 330.13
1972-04-29, 330.02
1972-05-06, 330.04
1972-05-13, 329.75
1972-05-20, 330.11
1972-05-27, 330.21
1972-06-03, 329.71
1972-06-10, 329.15
1972-06-17, 329.04
1972-06-24, 328.52
1972-07-01, 328.63
1972-07-08, 328.30
1972-07-15, 327.72
1972-07-22, 328.14
1972-07-29, 327.51
1972-08-05, 326.92
1972-08-12, 326.66
1972-08-19, 326.57
1972-08-26, 325.05
1972-09-02, 325.40
1972-09-09, 325.77
1972-09-16, 324.81
1972-09-23, 324.26
1972-09-30, 324.23
1972-10-07, 324.88
1972-10-14, 325.52
1972-10-21, 325.11
1972-10-28, 325.86
1972-11-04, 326.32
1972-11-11, 326.13
1972-11-18, 326.44
1972-11-25, 326.98
1972-12-02, 326.94
1972-12-09, 327.16
1972-12-16, 327.60
1972-12-23, 327.91
1972-12-30, 328.26
1973-01-06, 328.40
1973-01-13, 328.44
1973-01-20, 328.66
1973-01-27, 328.86
1973-02-03, 329.19
1973-02-10, 329.53
1973-02-17, 329.67
1973-02-24, 329.70
1973-03-03, 329.95
1973-03-10, 330.11
1973-03-17, 330.55
1973-03-24, 330.83
1973-03-31, 330.68
1973-04-07, 331.22
1973-04-14, 331.10
1973-04-21, 331.94
1973-04-28, 332.16
1973-05-05, 332.21
1973-05-12, 332.35
1973-05-19, 332.63
1973-05-26, 332.58
1973-06-02, 332.27
1973-06-09, 332.58
1973-06-16, 332.02
1973-06-23, 331.63
1973-06-30, 331.43
1973-07-07, 331.53
1973-07-14, 331.07
1973-07-21, 330.08
1973-07-28, 330.13
1973-08-04, 330.05
1973-08-11, 329.54
1973-08-18, 329.36
1973-08-25, 328.53
1973-09-01, 328.45
1973-09-08, 327.65
1973-09-15, 327.81
1973-09-22, 327.10
1973-09-29, 326.60
1973-10-06, 327.05
1973-10-13, 327.40
1973-10-20, 327.48
1973-10-27, 327.18
1973-11-03, 327.59
1973-11-10, 328.02
1973-11-17, 328.20
1973-11-24, 328.57
1973-12-01, 329.05
1973-12-08, 328.70
1973-12-15, 328.65
1973-12-22, 328.24
1973-12-29, 328.71
1974-01-05, 328.91
1974-01-12, 329.29
1974-01-19, 329.41
1974-01-26, 329.85
1974-02-02, 330.54
1974-02-09, 330.81
1974-02-16, 330.61
1974-02-23, 330.68
1974-03-02, 330.79
1974-03-09, 331.20
1974-03-16, 332.11
1974-03-23, 332.00
1974-03-30, 331.56
1974-04-06, 332.47
1974-04-13, 332.14
1974-04-20, 332.93
1974-04-27, 333.17
1974-05-04, 332.95
1974-05-11, 333.09
1974-05-18, 333.27
1974-05-25, 332.87
1974-06-01, 332.93
1974-06-08, 332.03
1974-06-15, 332.03
1974-06-22, 332.26
1974-06-29, 331.73
1974-07-06, 331.73
1974-07-13, 331.29
1974-07-20, 330.47
1974-07-27, 331.02
1974-08-03, 330.09
1974-08-10, 329.92
1974-08-17, 329.29
1974-08-24, 328.97
1974-08-31, 328.19
1974-09-07, 328.03
1974-09-14, 327.35
1974-09-21, 326.91
1974-09-28, 327.38
1974-10-05, 327.39
1974-10-12, 327.06
1974-10-19, 327.56
1974-10-26, 327.70
1974-11-02, 327.99
1974-11-09, 328.09
1974-11-16, 328.83
1974-11-23, 328.65
1974-11-30, 328.75
1974-12-07, 329.50
1974-12-14, 329.73
1974-12-21, 329.82
1974-12-28, 329.78
1975-01-04, 329.93
1975-01-11, 329.82
1975-01-18, 330.27
1975-01-25, 331.13
1975-02-01, 331.18
1975-02-08, 331.47
1975-02-15, 331.00
1975-02-22, 331.72
1975-03-01, 331.88
1975-03-08, 331.61
1975-03-15, 331.96
1975-03-22, 332.27
1975-03-29, 332.58
1975-04-05, 333.03
1975-04-12, 333.58
1975-04-19, 333.54
1975-04-26, 333.13
1975-05-03, 333.94
1975-05-10, 333.93
1975-05-17, 333.76
1975-05-24, 333.73
1975-05-31, 334.13
1975-06-07, 333.87
1975-06-14, 333.38
1975-06-21, 333.45
1975-06-28, 333.19
1975-07-05, 332.71
1975-07-12, 332.05
1975-07-19, 331.05
1975-07-26, 331.57
1975-08-02, 330.83
1975-08-09, 330.70
1975-08-16, 330.35
1975-08-23, 329.30
1975-08-30, 328.88
1975-09-06, 329.45
1975-09-13, 328.52
1975-09-20, 328.09
1975-09-27, 328.28
1975-10-04, 328.03
1975-10-11, 328.05
1975-10-18, 328.57
1975-10-25, 328.81
1975-11-01, 329.35
1975-11-08, 329.20
1975-11-15, 329.17
1975-11-22, 329.54
1975-11-29, 330.14
1975-12-06, 330.35
1975-12-13, 330.54
1975-12-20, 331.13
1975-12-27, 331.29
1976-01-03, 331.57
1976-01-10, 331.51
1976-01-17, 331.74
1976-01-24, 331.87
1976-01-31, 332.28
1976-02-07, 332.19
1976-02-14, 332.52
1976-02-21, 333.26
1976-02-28, 332.48
1976-03-06, 332.81
1976-03-13, 333.60
1976-03-20, 333.14
1976-03-27, 334.39
1976-04-03, 334.73
1976-04-10, 334.26
1976-04-17, 334.42
1976-04-24, 334.54
1976-05-01, 334.74
1976-05-08, 334.33
1976-05-15, 334.60
1976-05-22, 335.43
1976-05-29, 334.87
1976-06-05, 334.36
1976-06-12, 334.63
1976-06-19, 334.32
1976-07-03, 333.66
1976-07-10, 333.42
1976-07-17, 332.85
1976-07-24, 332.47
1976-07-31, 332.13
1976-08-07, 331.72
1976-08-14, 330.65
1976-08-21, 330.69
1976-08-28, 330.09
1976-09-04, 329.75
1976-09-11, 330.09
1976-09-18, 329.33
1976-09-25, 328.42
1976-10-02, 328.85
1976-10-09, 329.06
1976-10-16, 329.60
1976-10-23, 329.17
1976-10-30, 329.03
1976-11-06, 329.84
1976-11-13, 330.43
1976-11-20, 330.59
1976-11-27, 330.70
1976-12-04, 331.15
1976-12-11, 331.33
1976-12-18, 331.92
1976-12-25, 332.20
1977-01-01, 332.58
1977-01-08, 332.43
1977-01-15, 333.14
1977-01-22, 333.24
1977-01-29, 333.22
1977-02-05, 333.41
1977-02-12, 333.33
1977-02-19, 333.45
1977-02-26, 333.63
1977-03-05, 334.10
1977-03-12, 334.67
1977-03-19, 335.11
1977-03-26, 335.02
1977-04-02, 335.53
1977-04-09, 335.94
1977-04-16, 336.01
1977-04-23, 336.12
1977-04-30, 336.78
1977-05-07, 336.80
1977-05-14, 336.47
1977-05-21, 336.84
1977-05-28, 336.72
1977-06-04, 336.49
1977-06-11, 336.31
1977-06-18, 336.19
1977-06-25, 336.03
1977-07-02, 335.59
1977-07-09, 335.10
1977-07-16, 335.11
1977-07-23, 334.60
1977-07-30, 333.76
1977-08-06, 333.01
1977-08-13, 332.98
1977-08-20, 332.84
1977-08-27, 332.85
1977-09-03, 332.17
1977-09-10, 331.21
1977-09-17, 332.10
1977-09-24, 330.96
1977-10-01, 330.45
1977-10-08, 330.95
1977-10-15, 331.52
1977-10-22, 331.52
1977-10-29, 331.74
1977-11-05, 332.13
1977-11-12, 332.03
1977-11-19, 332.59
1977-11-26, 332.85
1977-12-03, 333.20
1977-12-10, 333.51
